"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"251764";"5";"9";"1771";"368";"Arend";"Onnes";"";"Visser";"Dockum";"Føring";"Daler";"2";"";"";"";"";"Daler";"51";"";"";"";"";"Daler";"49";"";"";"";"";"Daler";"53";"";"";"";"";"";"";"";"";"";"";"";"";"16-12-2009 10:29:28";"243";"";"";"";"";""
"251827";"5";"9";"1771";"371";"Hans Jacob";"";"";"Barff";"Amsterdam";"Føring";"Daler";"6";"Skilling";"14";"";"";"Daler";"159 1/2";"Skilling";"20";"";"";"Daler";"153 1/2";"Skilling";"6";"";"";"Daler";"157 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"16-12-2009 10:40:59";"243";"";"";"";"";""
"254311";"20";"6";"1771";"109";"Eelde";"";"";"Ulderick";"Dockum";"Føring";"Daler";"2";"Skilling";"5";"";"";"Daler";"55";"Skilling";"23";"";"";"Daler";"53";"Skilling";"18";"";"";"Daler";"57";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"17-12-2009 13:25:36";"243";"";"";"";"";""
"254317";"8";"6";"1770";"129";"Frerick";"";"";"Jantzen";"Vriesland";"Føring";"Daler";"1 1/2";"";"";"";"";"Daler";"38";"";"";"";"";"Daler";"36 1/2";"";"";"";"";"Daler";"40 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"17-12-2009 13:26:13";"242";"";"";"";"";""
"254995";"24";"6";"1770";"167";"Claas";"";"";"Reynders";"Sardam";"Føring";"Daler";"4 1/2";"Skilling";"22";"";"";"Daler";"126";"Skilling";"4";"";"";"Daler";"121";"Skilling";"6";"";"";"Daler";"125";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"17-12-2009 15:40:08";"242";"";"";"";"";""
"256231";"17";"7";"1770";"275";"Jan";"Hanssen";"";"Metz";"Ameland";"Føring";"Daler";"5";"Skilling";"9";"";"";"Daler";"131";"Skilling";"9";"";"";"Daler";"126";"";"";"";"";"Daler";"130";"";"";"";"";"";"";"";"";"";"";"";"";"18-12-2009 13:30:46";"242";"";"";"";"";""
"256920";"10";"8";"1770";"350";"Jan";"Anderse";"";"Bock";"Schelling";"Føring";"Daler";"5";"Skilling";"4";"";"";"Daler";"129 1/2";"Skilling";"10";"";"";"Daler";"124 1/2";"Skilling";"6";"";"";"Daler";"128 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"21-12-2009 10:16:21";"242";"";"";"";"";""
"256966";"27";"10";"1771";"473";"Jan";"Andersen";"";"Beck";"Schelling";"Føring";"Daler";"6";"Skilling";"12";"";"";"Daler";"159";"";"";"";"";"Daler";"152 1/2";"Skilling";"12";"";"";"Daler";"156 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"21-12-2009 10:30:09";"243";"";"";"";"";""
"257010";"21";"8";"1770";"363";"Cornelis";"";"";"Fopkes";"Ameland";"Føring";"Daler";"7 1/2";"Skilling";"14";"";"";"Daler";"196 1/2";"Skilling";"20";"";"";"Daler";"189";"Skilling";"6";"";"";"Daler";"193";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"21-12-2009 10:48:49";"242";"";"";"";"";""
"257873";"18";"9";"1770";"498";"Hans";"Laurens";"";"Bandix";"Amsterdam";"Føring";"Daler";"2";"Skilling";"14";"";"";"Daler";"59";"Skilling";"20";"";"";"Daler";"57";"Skilling";"6";"";"";"Daler";"61";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"22-12-2009 10:02:45";"242";"";"";"";"";""
"258452";"17";"10";"1770";"544";"Claus";"";"";"Obbes";"Schelling";"Føring";"Daler";"6";"Skilling";"12";"";"";"Daler";"157 1/2";"";"";"";"";"Daler";"151";"Skilling";"12";"";"";"Daler";"155";"Skilling";"12";"";"";"";"";"";"";"";"Børster siger bernsteen";"";"";"22-12-2009 13:08:52";"242";"";"";"";"";""
"258470";"17";"10";"1770";"546";"Foppe";"Fopkes";"";"Brauer";"Ameland";"Føring";"Daler";"5";"Skilling";"17";"";"";"Daler";"135";"Skilling";"11";"";"";"Daler";"129 1/2";"Skilling";"18";"";"";"Daler";"133 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"22-12-2009 13:13:59";"242";"";"";"";"";""
"258637";"4";"12";"1770";"666";"Arent";"";"";"Beerents";"Jauer";"Føring";"Daler";"1";"Skilling";"16";"";"";"Daler";"35";"Skilling";"16";"";"";"Daler";"34";"";"";"";"";"Daler";"38";"";"";"";"";"";"";"";"";"";"";"";"";"22-12-2009 13:50:57";"242";"";"";"";"";""
"259055";"7";"12";"1771";"523";"Jacob Broder";"";"";"Bendix";"Amsterdam";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"5 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"23-12-2009 8:57:00";"243";"";"";"";"";""
"259276";"27";"10";"1771";"456";"Carsten";"";"";"Koeper";"Oldenborg";"Føring";"Daler";"2 1/2";"Skilling";"6";"";"";"Daler";"66 1/2";"";"";"";"";"Daler";"63 1/2";"Skilling";"18";"";"";"Daler";"67 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"23-12-2009 10:24:03";"244";"";"";"";"";""
"259867";"18";"12";"1769";"614";"Sicke";"";"";"Rinses";"Leuwarden";"Føring";"Daler";"3";"Skilling";"5";"";"";"Daler";"79";"Skilling";"5";"";"";"Daler";"76";"";"";"";"";"Daler";"80";"";"";"";"";"";"";"";"";"";"";"";"";"24-12-2009 8:11:50";"242";"";"";"";"";""
"260317";"18";"7";"1771";"214";"Cornelis Claas";"";"";"Bollebacker";"Ameland";"Føring";"Daler";"3";"Skilling";"14";"";"";"Daler";"85 1/2";"Skilling";"8";"";"";"Daler";"82";"Skilling";"18";"";"";"Daler";"86";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"24-12-2009 10:55:49";"243";"";"";"";"";""
"268482";"17";"6";"1774";"183";"Gatse";"";"";"Bentes";"Mackum";"Føring";"Daler";"1";"Skilling";"19";"";"";"Daler";"37";"Skilling";"19";"";"";"Daler";"36";"";"";"";"";"Daler";"40";"";"";"";"";"";"";"";"";"";"";"";"";"8-1-2010 10:18:53";"247";"";"";"";"";""
"268980";"11";"5";"1770";"138";"Johann";"";"";"Groning";"Bremen";"Føring";"Daler";"1 1/2";"Skilling";"3";"";"";"Daler";"40 1/2";"Skilling";"3";"";"";"Daler";"39";"";"";"";"";"Daler";"43";"";"";"";"";"";"";"";"";"";"";"";"";"8-1-2010 12:53:32";"242";"";"";"";"";""
"269439";"14";"5";"1770";"153";"Martin";"";"";"Blanck";"Colberg";"Føring";"Daler";"2";"Skilling";"10";"";"";"Daler";"58";"Skilling";"10";"";"";"Daler";"56";"";"";"";"";"Daler";"58 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"8-1-2010 15:23:27";"242";"";"";"";"";""
"270503";"9";"5";"1771";"55";"Johann Gottfried";"";"";"Blanck";"Colberg";"";"";"";"";"";"";"";"Daler";"1/2";"";"";"";"";"Daler";"1/2";"";"";"";"";"Rosenobel";"1";"Daler";"1 1/2";"";"";"";"";"";"";"";"";"";"";"11-1-2010 11:16:21";"243";"";"";"";"";""
"271265";"7";"6";"1770";"201";"Erdmann Frid.";"";"";"Fick";"Dantzig";"Føring";"Daler";"6";"Skilling";"2";"";"";"Daler";"150 1/2";"Skilling";"20";"";"";"Daler";"144 1/2";"Skilling";"18";"";"";"Rosenobel";"1";"Daler";"149";"Skilling";"18";"";"";"";"";"";"";"";"";"11-1-2010 14:35:40";"242";"";"";"";"";""
"271352";"8";"6";"1770";"204";"Johann";"";"";"Mensing";"Bremen";"Føring";"Daler";"1 1/2";"Skilling";"22";"";"";"Daler";"49";"Skilling";"16";"";"";"Daler";"47";"Skilling";"18";"";"";"Daler";"51";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"11-1-2010 15:13:40";"242";"";"";"";"";""
"273126";"25";"6";"1771";"256";"James";"";"";"Arbuck";"London";"Føring";"Daler";"2 1/2";"Skilling";"4";"";"";"Daler";"65";"Skilling";"4";"";"";"Daler";"62 1/2";"";"";"";"";"Daler";"66 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"12-1-2010 13:23:22";"244";"";"N";"";"";""
"274659";"1";"10";"1767";"483";"Sietse";"";"";"Wiebes";"Rotterdam";"Gotgiøres skipper";"Daler";"1";"Skilling";"7";"";"";"Daler";"30";"Skilling";"19";"";"";"Daler";"29";"Skilling";"12";"";"";"Daler";"33";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"13-1-2010 10:56:33";"240";"";"N";"";"";""
"275948";"9";"9";"1767";"289";"Albert";"Jantz";"";"Klinckert";"Dantzig";"Gotgiøres skipper";"Daler";"5";"Skilling";"8";"";"";"Daler";"131 1/2";"Skilling";"2";"";"";"Daler";"126";"Skilling";"18";"";"";"Rosenobel";"1";"Daler";"130 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"14-1-2010 9:11:39";"240";"";"N";"";"";""
"276270";"12";"10";"1773";"969";"George";"";"";"Blacket";"London";"Føring";"Daler";"1/2";"Skilling";"12";"";"";"Daler";"22 1/2";"Skilling";"12";"";"";"Daler";"22";"";"";"";"";"Daler";"26";"";"";"";"";"";"";"";"";"";"";"";"";"14-1-2010 10:23:35";"246";"";"N";"";"";""
"277232";"8";"5";"1770";"16";"Jan";"Hanssen";"";"Metz";"Amsterdam";"Gotgiøres skipper";"Daler";"4 1/2";"Skilling";"2";"";"";"Daler";"117 1/2";"Skilling";"2";"";"";"Daler";"113";"";"";"";"";"Daler";"117";"";"";"";"";"";"";"";"";"";"Børster siger bernsten";"";"";"14-1-2010 13:44:20";"242";"";"N";"";"";""
"280323";"30";"5";"1768";"77";"Hans";"Jacobs";"";"Barff";"Ameland";"Gotgiøres skipper";"Daler";"4 1/2";"";"";"";"";"Daler";"112 1/2";"";"";"";"";"Daler";"108";"";"";"";"";"Daler";"112";"";"";"";"";"";"";"";"";"";"";"";"";"18-1-2010 10:21:52";"240";"";"N";"";"";""
"281709";"23";"10";"1771";"397";"Gerhard";"";"";"Bol";"Bremen";"Føring";"Daler";"3 1/2";"Skilling";"15";"";"";"Daler";"95 1/2";"Skilling";"15";"";"";"Daler";"92";"";"";"";"";"Daler";"96";"";"";"";"";"";"";"";"";"";"";"";"";"19-1-2010 8:15:40";"244";"";"N";"";"";""
"286930";"5";"6";"1799";"293";"Anders";"";"";"Grise";"Malmøe";"Føring";"Skilling";"12";"";"";"";"";"Daler";"9";"";"";"";"";"Daler";"8 1/2";"Skilling";"12";"";"";"Daler";"10 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"21-1-2010 12:00:22";"278";"Jagten drægt. 15 Læster";"N";"";"";""
"289783";"17";"8";"1773";"443";"Friedrich";"";"";"Whitte";"Colberg";"";"";"";"";"";"";"";"Daler";"18";"Skilling";"21";"";"";"Daler";"18";"Skilling";"21";"";"";"Rosenobel";"1";"Daler";"19 1/2";"";"";"";"";"";"";"";"";"";"";"25-1-2010 8:43:49";"246";"";"N";"";"";""
"291621";"18";"9";"1768";"438";"Cornelis Clas";"";"";"Bollebacker";"Ameland";"Gotgiøres skipper";"Daler";"4 1/2";"Skilling";"5";"";"";"Daler";"118 1/2";"Skilling";"17";"";"";"Daler";"114";"Skilling";"12";"";"";"Daler";"118";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"25-1-2010 14:59:51";"240";"";"N";"";"";""
"294900";"9";"10";"1768";"309";"Peter";"";"";"Strenske";"Bremen";"";"";"";"";"";"";"";"Daler";"12 1/2";"Skilling";"18";"";"";"Daler";"12 1/2";"Skilling";"18";"";"";"Daler";"16 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"27-1-2010 9:53:50";"240";"";"N";"";"";""
"295845";"31";"8";"1795";"747";"Caspar";"";"";"Neumann";"Kønigsberg";"Føring";"Daler";"1 1/2";"Skilling";"10";"";"";"Daler";"43";"Skilling";"22";"";"";"Daler";"41 1/2";"Skilling";"12";"";"";"Rosenobel";"1";"Daler";"46";"Skilling";"12";"";"";"";"";"";"";"";"";"27-1-2010 13:36:07";"273";"";"N";"";"";""
"298682";"12";"4";"1797";"183";"Casper";"";"";"Neuman";"Kønigsberg";"Føring";"Daler";"1 1/2";"Skilling";"15";"";"";"Daler";"46 1/2";"Skilling";"3";"";"";"Daler";"44 1/2";"Skilling";"12";"";"";"Rosenobel";"1";"Daler";"49";"Skilling";"12";"";"";"";"";"";"";"";"";"28-1-2010 15:23:31";"275";"";"N";"";"";""
"299309";"16";"12";"1768";"391";"Johann Philipp";"";"";"Klahn";"Dantzig";"Gotgiøres skipper";"Daler";"9";"Skilling";"16";"";"";"Daler";"233 1/2";"Skilling";"22";"";"";"Daler";"224 1/2";"Skilling";"6";"";"";"Rosenobel";"1";"Daler";"229";"Skilling";"6";"";"";"";"";"";"";"";"";"29-1-2010 9:03:44";"240";"";"N";"";"";""
"299498";"16";"6";"1768";"125";"Christian Jacob";"";"";"Carstens";"Rugenwalde";"Gotgiøres skipper";"Daler";"1";"Skilling";"4";"";"";"Daler";"29 1/2";"Skilling";"22";"";"";"Daler";"28 1/2";"Skilling";"18";"";"";"Rosenobel";"1";"Daler";"33";"Skilling";"18";"";"";"";"";"";"";"";"";"29-1-2010 9:57:37";"240";"";"N";"";"";""
"316974";"22";"4";"1769";"35";"Hans Jacob";"";"";"Barff";"Amsterdam";"Gotgiøres skipper";"Daler";"5";"";"";"";"";"Daler";"125 1/2";"";"";"";"";"Daler";"120 1/2";"";"";"";"";"Daler";"124 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"9-2-2010 12:18:10";"241";"";"N";"";"";""
"329805";"22";"4";"1792";"170";"Joh. Hinr.";"";"";"Hochfeldt";"Kønigsberg";"Føring";"Daler";"4";"Skilling";"18";"";"";"Daler";"111";"Skilling";"18";"";"";"Daler";"107";"";"";"";"";"Rosenobel";"1";"Daler";"111 1/2";"";"";"";"";"";"";"";"";"";"";"17-2-2010 11:15:27";"269";"";"N";"";"";""
"334691";"29";"8";"1769";"430";"Claas";"";"";"Obbes";"Schelling";"Gotgiøres skipper";"Daler";"6";"Skilling";"6";"";"";"Daler";"156 1/2";"Skilling";"12";"";"";"Daler";"150 1/2";"Skilling";"6";"";"";"Daler";"154 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"19-2-2010 13:10:15";"241";"";"N";"";"";""
"337934";"5";"8";"1797";"1190";"Michael";"";"";"Amundsen";"Kragerøe";"Føring";"Daler";"3 1/2";"Skilling";"8";"";"";"Daler";"94 1/2";"Skilling";"8";"";"";"Daler";"91";"";"";"";"";"Daler";"95";"";"";"";"";"";"";"";"";"";"";"";"";"22-2-2010 15:57:53";"275";"";"N";"";"";""
"345709";"28";"6";"1772";"236";"Rasmus";"";"";"Andersen";"Kiøbenhavn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"2";"";"";"";"";"";"";"";"";"";"Stuk Deense tekst";"";"";"26-2-2010 9:24:02";"245";"Skibet drægt. 28 læster";"N";"";"";""
"350934";"12";"5";"1764";"29";"Meyndert";"";"";"Jants";"Dockum";"Gotgiøres skipper";"Daler";"1 1/2";"Skilling";"20";"";"";"Daler";"48";"Skilling";"20";"";"";"Daler";"46 1/2";"";"";"";"";"Daler";"50 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"02-03-10";"236";"";"N";"";"";" "
"356546";"25";"6";"1764";"117";"Jan";"";"";"Jacobs";"Ameland";"Gotgiøres skipper";"Daler";"3";"Skilling";"22";"";"";"Daler";"88 1/2";"Skilling";"10";"";"";"Daler";"85";"Skilling";"12";"";"";"Daler";"89";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"04-03-10";"236";"";"N";"";"";" "
"360360";"27";"5";"1794";"478";"Hindr. Arens";"";"";"Loots";"Mackum";"Føring";"Skilling";"15";"";"";"";"";"Daler";"7 1/2";"Skilling";"21";"";"";"Daler";"7 1/2";"Skilling";"6";"";"";"Daler";"11 1/2";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"5-3-2010 16:18:27";"271";"";"N";"";"";""
"361936";"19";"9";"1797";"1569";"Hans H.";"";"";"Hansen";"Flensborg";"Føring";"Daler";"4";"Skilling";"17";"";"";"Daler";"110 1/2";"Skilling";"17";"";"";"Daler";"106 1/2";"";"";"";"";"Daler";"110 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"8-3-2010 12:08:30";"275";"";"N";"";"";""
"362593";"11";"10";"1765";"386";"Jentie";"";"";"Hendrichs";"Dockum";"Gotgiøres skipper";"Daler";"3";"Skilling";"1";"";"";"Daler";"75";"Skilling";"7";"";"";"Daler";"72";"Skilling";"6";"";"";"Daler";"76";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"08-03-10";"237";"";"";"";"";" "
"364230";"10";"11";"1765";"429";"Douwe";"";"";"Hessels";"Wousend";"Gotgiøres skipper";"Daler";"4";"Skilling";"12";"";"";"Daler";"107 1/2";"Skilling";"12";"";"";"Daler";"103 1/2";"";"";"";"";"Daler";"107 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"09-03-10";"237";"";"";"";"";" "
"364406";"8";"7";"1765";"366";"Jan";"Cornelius";"";"Backer";"Ameland";"Føring";"Daler";"6 1/2";"";"";"";"";"Daler";"163 1/2";"Skilling";"11";"";"";"Daler";"157";"Skilling";"12";"";"";"Daler";"161";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"09-03-10";"237";"";"";"";"";" "
"365088";"3";"12";"1765";"451";"Boncke";"";"";"Hanssen";"Amsterdam";"Gotgiøres skipper";"Daler";"6";"";"";"";"";"Daler";"149 1/2";"Skilling";"18";"";"";"Daler";"143 1/2";"Skilling";"18";"";"";"Daler";"147 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"09-03-10";"237";"";"";"";"";" "
"365754";"4";"8";"1794";"914";"Edserd";"";"";"Amses";"Delfzyl";"Føring";"Daler";"1";"Skilling";"6";"";"";"Daler";"29 1/2";"Skilling";"6";"";"";"Daler";"28 1/2";"";"";"";"";"Daler";"32 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"9-3-2010 13:40:34";"271";"";"N";"";"";""
"366043";"29";"9";"1791";"1458";"Henrich";"";"";"Rickeles";"Amsterdam";"Føring";"Daler";"1 1/2";"Skilling";"11";"";"";"Daler";"45 1/2";"Skilling";"5";"";"";"Daler";"43 1/2";"Skilling";"18";"";"";"Daler";"47 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"9-3-2010 14:19:27";"268";"";"N";"";"";""
"366732";"30";"4";"1766";"31";"Cornelis";"";"";"Fopkes";"Ameland";"Gotgiøres skipper";"Daler";"9 1/2";"Skilling";"6";"";"";"Daler";"243";"Skilling";"6";"";"";"Daler";"233 1/2";"";"";"";"";"Daler";"237 1/2";"";"";"";"";"";"";"";"";"";"";"";"";"9-3-2010 16:18:03";"238";"";"N";"";"";""
"368281";"3";"8";"1765";"355";"John";"";"";"Wilborn";"London";"";"";"";"";"";"";"";"Daler";"14 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"Daler";"18 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"10-03-10";"237";"";"";"";"";" "
"369202";"10";"10";"1764";"341";"Jan Willem";"";"";"Lap";"Oudebom";"Gotgiøres skipper";"Daler";"2 1/2";"Skilling";"9";"";"";"Daler";"68 1/2";"Skilling";"3";"";"";"Daler";"65 1/2";"Skilling";"18";"";"";"Daler";"69 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"11-03-10";"236";"";"N";"";"";" "
"370700";"20";"10";"1764";"378";"Cornelis Claas";"";"";"Bollebacker";"Ameland";"Gotgiøres skipper";"Daler";"3";"Skilling";"6";"";"";"Daler";"80 1/2";"Skilling";"18";"";"";"Daler";"77 1/2";"Skilling";"12";"";"";"Daler";"81 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"11-03-10";"236";"";"N";"";"";" "
"371170";"28";"4";"1765";"42";"Dirchs";"";"";"Juriens";"Kønigsberg";"Føring";"Daler";"4";"Skilling";"3";"";"";"Daler";"102 1/2";"Skilling";"3";"";"";"Daler";"98 1/2";"";"";"";"";"Rosenobel";"1";"Daler";"103";"";"";"";"";"";"";"";"";"";"";"11-03-10";"237";"";"";"";"";" "
"371270";"11";"10";"1763";"465";"Hendrich";"";"";"Greelds";"Amsterdam";"Føring";"Daler";"2";"Skilling";"20";"";"";"Daler";"61 1/2";"Skilling";"8";"";"";"Daler";"59";"Skilling";"12";"";"";"Daler";"63";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"11-3-2010 13:30:44";"235";"";"N";"";"";""
"371969";"11";"7";"1763";"143";"Ary";"";"";"Prinss";"Rotterdam";"Føring";"Daler";"5";"Skilling";"1";"";"";"Daler";"125 1/2";"Skilling";"19";"";"";"Daler";"120 1/2";"Skilling";"18";"";"";"Daler";"124 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"";"";"11-3-2010 15:40:48";"235";"";"N";"";"";""
"372479";"16";"6";"1766";"116";"Anske";"";"";"Theunis";"Lemmer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Daler";"10 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"12-3-2010 8:46:46";"238";"";"N";"";"";""
"373218";"4";"7";"1766";"179";"Simon";"";"";"Matthiessen";"Amsterdam";"Gotgiøres skipper";"Daler";"2";"Skilling";"14";"";"";"Daler";"58 1/2";"Skilling";"2";"";"";"Daler";"56";"Skilling";"12";"";"";"Daler";"60";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"12-3-2010 11:25:31";"238";"";"N";"";"";""
"373277";"6";"7";"1766";"186";"Hibbe";"";"";"Harmens";"Dockum";"Føring";"Daler";"1 1/2";"Skilling";"9";"";"";"Daler";"43 1/2";"Skilling";"21";"";"";"Daler";"42";"Skilling";"12";"";"";"Daler";"46";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"12-3-2010 11:37:23";"238";"";"N";"";"";""
